"name","id","nametype","recclass","mass_g","fall","year","reclat","reclong","GeoLocation"
"Elida (b)",10015,"Valid","OC",537.8,"Found",1968,33.91667,-103.51833,"(33.91667, -103.51833)"
"Arches",2328,"Valid","L5",534,"Found",2001,38.68867,-109.58517,"(38.68867, -109.58517)"
"Roosevelt County 020",22675,"Valid","L5",528,"Found",1983,34.13333,-103.56667,"(34.13333, -103.56667)"
"Monument Draw",16732,"Valid","Acapulcoite",524.5,"Found",1985,32.50333,-102.74333,"(32.50333, -102.74333)"
"Poison Spring",18857,"Valid","Iron",524,"Found",1971,38.17,-110.36667,"(38.17, -110.36667)"
"Roosevelt County 081",22736,"Valid","H5",522.2,"Found",1969,33.63333,-103.16667,"(33.63333, -103.16667)"
"Lawrence",12744,"Valid","L6",515,"Found",1928,38.96667,-95.16667,"(38.96667, -95.16667)"
"Naruna (b)",16917,"Valid","H4",513.3,"Found",1942,30.95,-98.28333,"(30.95, -98.28333)"
"Oro Grande",18031,"Valid","H5",513,"Found",1971,32.37167,-106.25833,"(32.37167, -106.25833)"
"Coyote Dry Lake 223",30494,"Valid","L6",512,"Found",2004,35.03842,-116.75818,"(35.03842, -116.75818)"
"Eustis",10065,"Valid","H4",502,"Found",1918,28.83333,-81.68333,"(28.83333, -81.68333)"
"Botetourt County",5116,"Valid","Iron",500,"Found",1850,37.5,-79.75,"(37.5, -79.75)"
"Nuevo Laredo",17937,"Valid","Eucrite-mmict",500,"Found",1950,27.5,-99.5,"(27.5, -99.5)"
"Thoreau",23974,"Valid","Iron, IAB complex",500,"Found",1954,35.28333,-108.26667,"(35.28333, -108.26667)"
"Lea County 001",12750,"Valid","H5",498,"Found",1988,32.03333,-103.15,"(32.03333, -103.15)"
"Finney (c)",10105,"Valid","OC",492,"Found",1978,34.29833,-101.68333,"(34.29833, -101.68333)"
"Little Piney",14664,"Valid","L5",491,"Fell",1839,37.91667,-92.08333,"(37.91667, -92.08333)"
"Hartsel",30725,"Valid","H4",490,"Found",2000,38.83333,-105.8,"(38.83333, -105.8)"
"Kofa",12339,"Valid","Iron, IAB-sHH",490,"Found",1893,33.5,-114,"(33.5, -114.0)"
"Tafoya (b)",23781,"Valid","H5",490,"Found",1951,36.45,-104.1,"(36.45, -104.1)"
"Noblesville",16985,"Valid","H4-6",483.7,"Fell",1991,40.08528,-86.055,"(40.08528, -86.055)"
"La Esmeralda",12398,"Valid","L6",483,"Found",1999,27.06667,-103.43333,"(27.06667, -103.43333)"
"Granada Creek",10954,"Valid","H",479,"Found",1975,37.96667,-102.33333,"(37.96667, -102.33333)"
"Seminole Draw (a)",23493,"Valid","L6",478,"Found",1976,32.71667,-102.65,"(32.71667, -102.65)"
"Coleman",5401,"Valid","L6",469,"Fell",1994,43.76111,-84.50778,"(43.76111, -84.50778)"
"Roosevelt County 001",22656,"Valid","H3.8",462,"Found",1968,33.78333,-103.56667,"(33.78333, -103.56667)"
"El Pozo",7814,"Valid","L5",460,"Found",1998,26.93333,-105.4,"(26.93333, -105.4)"
"Kenna (b)",12278,"Valid","L5",453,"Found",1972,33.70833,-103.76667,"(33.70833, -103.76667)"
"Bluewing 008",5086,"Valid","H5",451.7,"Found",2001,40.27957,-118.94642,"(40.27957, -118.94642)"
"Emmitsburg",10034,"Valid","Iron, IIIAB?",450,"Found",1854,39.71667,-77.3,"(39.71667, -77.3)"
"Jackson County",12066,"Valid","Iron, IIIAB",450,"Found",1846,36.41667,-85.5,"(36.41667, -85.5)"
"Roosevelt County 019",22674,"Valid","L5",450,"Found",1982,34.11667,-103.56667,"(34.11667, -103.56667)"
"Fairburn",56565,"Valid","Iron, IAB-ung",445,"Found",1907,43.603,-103.026,"(43.603, -103.026)"
"Linville",14656,"Valid","Iron, IAB-sHH",442,"Found",1882,35.86667,-81.91667,"(35.86667, -81.91667)"
"Diamond Valley",7641,"Valid","H5",440,"Found",2001,40.08173,-115.93673,"(40.08173, -115.93673)"
"Rolla (1936)",22646,"Valid","H5",440,"Found",1936,37.11667,-101.6,"(37.11667, -101.6)"
"Roosevelt County 044",22699,"Valid","L6",439.1,"Found",1970,34.25,-103.51667,"(34.25, -103.51667)"
"Rolla (1941)",22648,"Valid","H5",435,"Found",1941,37.08333,-101.6,"(37.08333, -101.6)"
"Study Butte",23734,"Valid","H3-6",417,"Found",1983,29.30167,-103.5,"(29.30167, -103.5)"
"Coyote Dry Lake 067",30462,"Valid","L6",412.05,"Found",1999,35.03815,-116.7531,"(35.03815, -116.7531)"
"Roosevelt County 065",22720,"Valid","H5",405.8,"Found",1971,33.61667,-103.45,"(33.61667, -103.45)"
"Sierra Blanca",23587,"Valid","Iron, IAB?",405,"Found",1784,27.15,-104.9,"(27.15, -104.9)"
"Pickens County",18815,"Valid","H6",400,"Found",1908,34.5,-84.5,"(34.5, -84.5)"
"Roosevelt County 031",22686,"Valid","H3.9",397.1,"Found",1984,33.78333,-103.55,"(33.78333, -103.55)"
"Coyote Dry Lake 054",30458,"Valid","H5",392.8,"Found",1999,35.07667,-116.74667,"(35.07667, -116.74667)"
"Galleta Flat",52414,"Valid","H4",392,"Found",2009,32.00415,-110.37503,"(32.00415, -110.37503)"
"Elida (c)",10016,"Valid","H5",385.5,"Found",1968,33.79,-103.56333,"(33.79, -103.56333)"
"Golden Mile",10941,"Valid","H4",378.8,"Found",2000,35.89,-114.16667,"(35.89, -114.16667)"
"Bells",5005,"Valid","C2-ung",375,"Fell",1961,33.6,-96.46667,"(33.6, -96.46667)"
"Stewart Valley 009",55537,"Valid","LL5",375,"Found",2003,36.17557,-116.159,"(36.17557, -116.159)"
"St. Ann",23079,"Valid","H6",373.5,"Found",1938,40.45,-100.75,"(40.45, -100.75)"
"Wikieup",24260,"Valid","H5",372,"Found",1965,34.7,-113.6,"(34.7, -113.6)"
"Majuba",30752,"Valid","L5",370,"Found",1999,40.6265,-118.41033,"(40.6265, -118.41033)"
"Hawk Springs",11862,"Valid","H5",367,"Found",1935,41.78333,-104.28333,"(41.78333, -104.28333)"
"Roosevelt County 054",22709,"Valid","H5",361.5,"Found",1971,34.3,-103.43333,"(34.3, -103.43333)"
"Bluewing 006",5084,"Valid","L6",355,"Found",1999,40.28338,-118.94808,"(40.28338, -118.94808)"
"Northampton",17009,"Valid","Iron",353,"Found",1963,42.31667,-72.63333,"(42.31667, -72.63333)"
"Chandler",53491,"Valid","L6",350.4,"Found",2009,33.24558,-111.89633,"(33.24558, -111.89633)"
"Wethersfield (1971)",24250,"Valid","L6",350,"Fell",1971,41.7,-72.65,"(41.7, -72.65)"
"Wood Lake",50910,"Valid","H4",350,"Found",2003,45,-79.06667,"(45.0, -79.06667)"
"Anthony Gap",56391,"Valid","L6",347.36,"Found",2011,32.00584,-106.56028,"(32.00584, -106.56028)"
"Baldwyn",4926,"Valid","L6",345,"Fell",1922,34.5,-88.66667,"(34.5, -88.66667)"
"Coyote Dry Lake 040",30457,"Valid","H4",344,"Found",1999,35.09373,-116.76343,"(35.09373, -116.76343)"
"Wellman (b)",24238,"Valid","OC",343,"Found",1964,33.025,-102.41667,"(33.025, -102.41667)"
"De Cewsville",6621,"Valid","H6",340,"Fell",1887,43,-80,"(43.0, -80.0)"
"Lumpkin",14753,"Valid","L6",340,"Fell",1869,32.03333,-84.76667,"(32.03333, -84.76667)"
"Mariaville",15419,"Valid","Iron",340,"Fell",1898,42.71667,-99.38333,"(42.71667, -99.38333)"
"Rochester",22637,"Valid","H6",340,"Fell",1876,41.08333,-86.28333,"(41.08333, -86.28333)"
"Coyote Dry Lake 001",30452,"Valid","H5",338,"Found",1995,35.05017,-116.76683,"(35.05017, -116.76683)"
"Superstition Mountain",23759,"Valid","H5",333,"Found",2000,32.87083,-115.7825,"(32.87083, -115.7825)"
"Abajo",4,"Valid","H5",331,"Found",1982,26.8,-105.41667,"(26.8, -105.41667)"
"Moriarty",16744,"Valid","L",330,"Found",1975,34.98333,-106.05,"(34.98333, -106.05)"
"Lorton",52843,"Valid","L6",329.7,"Fell",2010,38.70066,-77.21163,"(38.70066, -77.21163)"
"Bluewing 007",5085,"Valid","L4",324,"Found",1999,40.28247,-118.94872,"(40.28247, -118.94872)"
"Hueco Tanks",11923,"Valid","L6",314,"Found",1985,31.91667,-106.15,"(31.91667, -106.15)"
"Lost Draw",14713,"Valid","OC",309,"Found",1980,33.28944,-102.54306,"(33.28944, -102.54306)"
"Superior Valley 020",31331,"Valid","L6",307.75,"Found",2003,35.23858,-117.02628,"(35.23858, -117.02628)"
"Chicora",5349,"Valid","LL6",303,"Fell",1938,40.93333,-79.73333,"(40.93333, -79.73333)"
"Kansas State University",30739,"Valid","H4",301,"Found",2004,39.27556,-96.25944,"(39.27556, -96.25944)"
"Dale Dry Lake",5505,"Valid","L3.7",300,"Found",1957,34.08333,-115.78333,"(34.08333, -115.78333)"
"Holly",11898,"Valid","H4",299,"Found",1937,38.06667,-102.1,"(38.06667, -102.1)"
"Jay Bird Springs",47731,"Valid","Pallasite",292,"Found",2003,32.133333,-82.983333,"(32.133333, -82.983333)"
"Roosevelt County 073",22728,"Valid","H5",288,"Found",1989,34.08333,-103.48333,"(34.08333, -103.48333)"
"Bluewing 033",51576,"Valid","L5",287.44,"Found",1999,40.26667,-118.93333,"(40.26667, -118.93333)"
"Schenectady",23458,"Valid","H5",283.3,"Fell",1968,42.86083,-73.95028,"(42.86083, -73.95028)"
"Wray (a)",24338,"Valid","H4-an",281.7,"Found",1936,40.05,-102.2,"(40.05, -102.2)"
"Plains (d)",18840,"Valid","H4",280,"Found",1991,33.26667,-102.9,"(33.26667, -102.9)"
"Tupelo",56551,"Valid","EL6",280,"Found",2012,34.24216,-88.77594,"(34.24216, -88.77594)"
"Willcox Playa 005",51582,"Valid","H5",278.4,"Found",2004,32.0939,-109.88412,"(32.0939, -109.88412)"
"Coyote Dry Lake 080",30463,"Valid","H5",278.1,"Found",1999,35.07402,-116.76117,"(35.07402, -116.76117)"
"Delphos (d)",6648,"Valid","H5",276,"Found",1969,34.05,-103.55,"(34.05, -103.55)"
"El Paso",7812,"Valid","LL4",276,"Found",1950,31.78333,-106.23333,"(31.78333, -106.23333)"
"El Mirage Dry Lake 004",54570,"Valid","LL6",271,"Found",2011,34.65783,-117.59892,"(34.65783, -117.59892)"
"Hayden Creek",11864,"Valid","Iron, IIIAB",270,"Found",1895,45,-114,"(45.0, -114.0)"
"Tafoya (a)",23780,"Valid","H4",270,"Found",1951,36.45,-104.1,"(36.45, -104.1)"
"Freda",10180,"Valid","Iron, IAB-sLH",268,"Found",1919,46.38333,-101.23333,"(46.38333, -101.23333)"
"Hoxie",11915,"Valid","OC",266.1,"Fell",1963,39.35,-100.45,"(39.35, -100.45)"
"New Deal",52094,"Valid","H6",266,"Found",2010,33.721,-101.8389,"(33.721, -101.8389)"
"Athens",4885,"Valid","LL6",265,"Fell",1933,34.75,-87,"(34.75, -87.0)"
"Little Harquahala Mountains",53484,"Valid","H-melt rock",262.2,"Found",2006,33.69177,-113.63612,"(33.69177, -113.63612)"
"Torrington",24032,"Valid","H6",259.1,"Fell",1944,42.06667,-104.16667,"(42.06667, -104.16667)"
"Roosevelt County 075",22730,"Valid","H3.10",258,"Found",1990,34.18333,-103.43333,"(34.18333, -103.43333)"
"San Bernardino Wash",55265,"Valid","L5",258,"Found",2010,34.00056,-115.72972,"(34.00056, -115.72972)"
"Dawn (b)",6619,"Valid","H4/5",257.6,"Found",1981,34.86,-102.12,"(34.86, -102.12)"
"Coyote Dry Lake 003",30454,"Valid","H5",255.72,"Found",1998,35.08808,-116.75398,"(35.08808, -116.75398)"
"Smokey Spring",57453,"Valid","H4",254,"Found",2011,40.95465,-118.49693,"(40.95465, -118.49693)"
"Yorktown (New York)",30370,"Valid","L5",250,"Fell",1869,41.28333,-73.81667,"(41.28333, -73.81667)"
"Diablo Pass",35516,"Valid","L6",246.6,"Found",2004,33.66348,-114.29207,"(33.66348, -114.29207)"
"Cotopaxi",30451,"Valid","Iron, IAB-ung",243,"Found",2000,38.46483,-105.7015,"(38.46483, -105.7015)"
"Junction",12212,"Valid","L5",241,"Found",1932,30.5,-99.83333,"(30.5, -99.83333)"
"Coyote Spring",44708,"Valid","H5",240,"Found",2005,36.99367,-114.99367,"(36.99367, -114.99367)"
"Hualapai Wash",11917,"Valid","L6",240,"Found",2000,35.86333,-114.19333,"(35.86333, -114.19333)"
"Livingston (Tennessee)",14669,"Valid","Iron, IAB-ung",235,"Found",1937,36.41667,-85.25,"(36.41667, -85.25)"
"Salina",23108,"Valid","Iron",235,"Found",1908,38.98333,-111.85,"(38.98333, -111.85)"
"Denver",6660,"Valid","L6",230,"Fell",1967,39.7825,-104.93056,"(39.7825, -104.93056)"
"Reager",22401,"Valid","L6",230,"Found",1948,39.78333,-100,"(39.78333, -100.0)"
"Springfield (b)",23690,"Valid","L",229.3,"Found",1937,37.48333,-102.67667,"(37.48333, -102.67667)"
"Tarlton",23880,"Valid","H4",226.5,"Found",1967,39.32,-82.37,"(39.32, -82.37)"
"Ingalls",12033,"Valid","H6",226,"Found",1937,37.83333,-100.45,"(37.83333, -100.45)"
"Washougal",24218,"Valid","Howardite",225,"Fell",1939,45.58333,-122.35,"(45.58333, -122.35)"
"Muroc Dry Lake",16880,"Valid","L6",223,"Found",1936,34.91667,-117.83333,"(34.91667, -117.83333)"
"Nazareth (c)",16930,"Valid","H5",222,"Found",1970,34.58333,-102.08333,"(34.58333, -102.08333)"
"Whitman",24254,"Valid","H5",221,"Found",1937,42.03333,-101.5,"(42.03333, -101.5)"
"Ferguson",10088,"Valid","OC",220,"Fell",1889,36.1,-81.41667,"(36.1, -81.41667)"
"Dispatch",7648,"Valid","H",220,"Found",1956,39.5,-98.53333,"(39.5, -98.53333)"
"Walnut Hill",24209,"Valid","OC",220,"Found",1978,43.827,-70.24717,"(43.827, -70.24717)"
"Silver Dry Lake 001",23598,"Valid","L4",218.8,"Found",2000,35.37333,-116.125,"(35.37333, -116.125)"
"Thomson",23973,"Valid","L6",218,"Found",1888,33.46667,-82.48333,"(33.46667, -82.48333)"
"Grimsby",50911,"Valid","H5",215,"Fell",2009,43.2,-79.61667,"(43.2, -79.61667)"
"Roosevelt County 096",22751,"Valid","L5",212.2,"Found",1996,34.09167,-103.67667,"(34.09167, -103.67667)"
"Chico Mountains",5348,"Valid","Iron, IIAB",212,"Found",1915,29,-103.25,"(29.0, -103.25)"
"Monticello",16728,"Valid","Howardite",210,"Found",1982,36.95,-84.9,"(36.95, -84.9)"
"Pima County",18823,"Valid","Iron, IIAB",210,"Found",1947,32.2,-111,"(32.2, -111.0)"
"Wilburton",24262,"Valid","H5",207.8,"Found",1940,37.08333,-101.76667,"(37.08333, -101.76667)"
"Rolla (1939)",22647,"Valid","H4",207.5,"Found",1939,37.11667,-101.6,"(37.11667, -101.6)"
"Kitchener",12326,"Valid","L6",202.6,"Fell",1998,43.38333,-80.38333,"(43.38333, -80.38333)"
"Wildcat Peak",24266,"Valid","H5",202,"Found",1998,32.56533,-111.7255,"(32.56533, -111.7255)"
"New Moore (b)",16959,"Valid","OC",200,"Found",1975,33.11833,-102.11333,"(33.11833, -102.11333)"
"Yucca 017",57159,"Valid","H5",200,"Found",2011,34.81923,-114.27735,"(34.81923, -114.27735)"
"Zulu Queen",30414,"Valid","L3.7",200,"Found",1976,33.98333,-115.68333,"(33.98333, -115.68333)"
"Oldman Mountain",56392,"Valid","H5",198.96,"Found",2008,33.67248,-114.2917,"(33.67248, -114.2917)"
"Alexander County",464,"Valid","Iron, IAB complex",192,"Found",1875,35.75,-81.25,"(35.75, -81.25)"
"Tulia (iron)",24070,"Valid","Iron",190,"Found",1969,34.555,-101.63,"(34.555, -101.63)"
"Coyote Dry Lake 176",30490,"Valid","H6",187.55,"Found",2003,35.05452,-116.73005,"(35.05452, -116.73005)"
"Tungsten Mountain 011",50908,"Valid","CV3",186.52,"Found",2003,39.683333,-117.616667,"(39.683333, -117.616667)"
"Orlando",34489,"Valid","Eucrite",180,"Fell",2004,28.5475,-81.36222,"(28.5475, -81.36222)"
"Roosevelt County 017",22672,"Valid","L6",177.8,"Found",1981,34.21667,-103.2,"(34.21667, -103.2)"
"Roosevelt County 012",22667,"Valid","H5",173.1,"Found",1981,34.1,-103.48333,"(34.1, -103.48333)"
"Bluewing 031",51575,"Valid","H5",170,"Found",1999,40.26667,-118.93333,"(40.26667, -118.93333)"
"Cross Roads",5476,"Valid","H5",167,"Fell",1892,35.63333,-78.13333,"(35.63333, -78.13333)"
"Harper Dry Lake 007",11838,"Valid","H5",166.7,"Found",2000,35.04953,-117.26357,"(35.04953, -117.26357)"
"Columbus",5411,"Valid","H5",165,"Found",1997,31.82967,-107.3945,"(31.82967, -107.3945)"
"Coyote Dry Lake 117",30468,"Valid","H3",162,"Found",1999,35.0501,-116.74443,"(35.0501, -116.74443)"
"Willcox Playa 009",52851,"Valid","Mesosiderite",160,"Found",2009,32.07667,-109.8455,"(32.07667, -109.8455)"
"Paymaster Mine",44796,"Valid","L5",159,"Found",2004,33.18667,-114.91783,"(33.18667, -114.91783)"
"Warm Springs Wilderness",32769,"Valid","H4-6",156.9,"Found",2003,34.78698,-114.25052,"(34.78698, -114.25052)"
"Oktibbeha County",18003,"Valid","Iron, IAB-ung",156,"Found",1854,33.5,-89,"(33.5, -89.0)"
"Villa Natamoros",24178,"Valid","L3.7",156,"Found",1987,26.75,-105.4,"(26.75, -105.4)"
"Black Rock 001",32765,"Valid","L6",152,"Found",2003,40.86717,-119.18352,"(40.86717, -119.18352)"
"Malaga",15393,"Valid","OC",150,"Fell",1933,32.21667,-104,"(32.21667, -104.0)"
"Hueco Tanks (b)",11924,"Valid","H5",150,"Found",1985,31.91667,-106.15,"(31.91667, -106.15)"
"Udall Park",24100,"Valid","H4",150,"Found",1985,32.25,-110.83333,"(32.25, -110.83333)"
"Bouse",35487,"Valid","L4-6",147.4,"Found",2004,33.96667,-114.06667,"(33.96667, -114.06667)"
"Naviska",48657,"Valid","Iron, IAB complex",147,"Found",2004,32.5,-111.28,"(32.5, -111.28)"
"Avilez",4907,"Valid","H",146,"Fell",1855,25,-103.5,"(25.0, -103.5)"
"Buck Mountains 004",55342,"Valid","H3-6",145.8,"Found",2005,34.70108,-114.18845,"(34.70108, -114.18845)"
"Superior Valley 002",23749,"Valid","L6",145,"Found",2000,35.22358,-117.1136,"(35.22358, -117.1136)"
"Oshkosh",18036,"Valid","H",144.8,"Found",1961,44.07694,-88.56278,"(44.07694, -88.56278)"
"Roosevelt County 032",22687,"Valid","H5",141.1,"Found",1968,34.08333,-103.5,"(34.08333, -103.5)"
"Coyote Dry Lake 129",30472,"Valid","H5",140,"Found",2000,35.06917,-116.7502,"(35.06917, -116.7502)"
"Roosevelt County 085",22740,"Valid","L4",140,"Found",1969,34.31667,-103.38333,"(34.31667, -103.38333)"
"Roosevelt County 016",22671,"Valid","H5",138.2,"Found",1981,34.1,-103.48333,"(34.1, -103.48333)"
"Roosevelt County 082",22737,"Valid","H4",137,"Found",1969,34.08333,-103.56667,"(34.08333, -103.56667)"
"Palmyra",18079,"Valid","L3",135,"Fell",1926,39.8,-91.5,"(39.8, -91.5)"
"Republican River",22591,"Valid","H4",135,"Found",1942,40.08333,-98.91667,"(40.08333, -98.91667)"
"New Mexico",16957,"Valid","Iron",130,"Found",1935,34.5,-107,"(34.5, -107.0)"
"Stewart Valley 012",55528,"Valid","H6",130,"Found",2012,36.235,-116.18358,"(36.235, -116.18358)"
"Valley Wells",24152,"Valid","L6",129.9,"Found",1929,35.46667,-115.66667,"(35.46667, -115.66667)"
"Cuddeback Dry Lake 023",52856,"Valid","H5",123,"Found",1986,35.3248,-117.47983,"(35.3248, -117.47983)"
"Ragged Top",22370,"Valid","H4",122.7,"Found",1997,32.44667,-111.34667,"(32.44667, -111.34667)"
"Stratton",23730,"Valid","OC",121,"Found",1964,39.22167,-102.59,"(39.22167, -102.59)"
"Roosevelt County 046",22701,"Valid","H5",120.4,"Found",1970,34.1,-103.48333,"(34.1, -103.48333)"
"Harper Dry Lake 019",45965,"Valid","L6",118.7,"Found",2007,35.04015,-117.27283,"(35.04015, -117.27283)"
"Roosevelt County 034",22689,"Valid","H5",118.5,"Found",1968,34.08333,-103.61667,"(34.08333, -103.61667)"
"Coyote Dry Lake 134",30475,"Valid","H5",117.5,"Found",2000,35.0925,-116.76083,"(35.0925, -116.76083)"
"Superior Valley 009",23756,"Valid","L6",116.42,"Found",2001,35.23583,-117.044,"(35.23583, -117.044)"
"Niagara",16969,"Valid","Iron, IAB-sLL",115,"Found",1879,48,-97.93333,"(48.0, -97.93333)"
"Blakeman",56564,"Valid","L4",113.7,"Found",1983,39.91667,-101.2,"(39.91667, -101.2)"
"Bluewing 004",5082,"Valid","L5",113,"Found",1999,40.27537,-118.9461,"(40.27537, -118.9461)"
"Randsburg",44798,"Valid","L5",112.9,"Found",2005,35.4005,-117.66617,"(35.4005, -117.66617)"
"Doyleville",7727,"Valid","H5",112,"Found",1887,38.41667,-106.58333,"(38.41667, -106.58333)"
"Franklinville",10179,"Valid","L6",108,"Found",1888,38.5,-100,"(38.5, -100.0)"
"Coyote Dry Lake 002",30453,"Valid","H5-6",106.7,"Found",1998,35.04753,-116.73092,"(35.04753, -116.73092)"
"Lucerne Valley 044",31369,"Valid","L6",106.22,"Found",2004,34.48413,-116.96083,"(34.48413, -116.96083)"
"Temple Bar",23895,"Valid","CR",106,"Found",1998,35.91667,-114.43333,"(35.91667, -114.43333)"
"Thumb Butte",53890,"Valid","H3.8",105,"Found",2008,35.16993,-114.45585,"(35.16993, -114.45585)"
"Garland",10861,"Valid","Diogenite-pm",102,"Fell",1950,41.68333,-112.13333,"(41.68333, -112.13333)"
"Bronco (b)",5148,"Valid","OC",101,"Found",1980,33.275,-102.96,"(33.275, -102.96)"
"New Moore (a)",16958,"Valid","OC",100.3,"Found",1972,33.11667,-102.11667,"(33.11667, -102.11667)"
"Sacramento Wash 001",34065,"Valid","H4",98.9,"Found",2003,34.75637,-114.23435,"(34.75637, -114.23435)"
"Roosevelt County 106",22761,"Valid","L6",98.8,"Found",2001,34.21667,-103.93333,"(34.21667, -103.93333)"
"Kirbyville",12321,"Valid","Eucrite-mmict",97.7,"Fell",1906,30.75,-95.95,"(30.75, -95.95)"
"Cuddeback Dry Lake 007",5486,"Valid","L4",96.7,"Found",2000,35.3114,-117.45342,"(35.3114, -117.45342)"
"Roosevelt County 021",22676,"Valid","H5",96,"Found",1983,33.81806,-103.20694,"(33.81806, -103.20694)"
"Bluewing 003",5081,"Valid","L6",95,"Found",1999,40.26752,-118.94308,"(40.26752, -118.94308)"
"Cuddeback Dry Lake 002",5481,"Valid","L6",95,"Found",2000,35.2755,-117.47833,"(35.2755, -117.47833)"
"Harper Dry Lake 003",11834,"Valid","L6",95,"Found",1999,35.0425,-117.30837,"(35.0425, -117.30837)"
"Los Lunas",14707,"Valid","H4",94.5,"Found",1978,34.8125,-106.79167,"(34.8125, -106.79167)"
"Roosevelt County 037",22692,"Valid","H4/5",94.3,"Found",1968,34.08333,-103.51667,"(34.08333, -103.51667)"
"Castine",5293,"Valid","L6",94,"Fell",1848,44.38333,-68.75,"(44.38333, -68.75)"
"Enigma",10036,"Valid","H4",94,"Found",1967,31.33333,-82.31667,"(31.33333, -82.31667)"
"Red Dry Lake 003",22540,"Valid","H6",94,"Found",2001,35.64552,-114.03069,"(35.64552, -114.03069)"
"Griffith Wash",55289,"Valid","L6",93,"Found",2011,35.06639,-114.0975,"(35.06639, -114.0975)"
"Big Horn Mountains",50765,"Valid","H4",91.9,"Found",2006,33.71333,-113.275,"(33.71333, -113.275)"
"Coyote Dry Lake 151",30479,"Valid","H6",90.04,"Found",2001,35.05602,-116.72368,"(35.05602, -116.72368)"
"Cranberry Plains",5462,"Valid","Iron, IVA",90,"Found",1852,37.23333,-80.73333,"(37.23333, -80.73333)"
"Turtle Lake",47343,"Valid","L5",89.3,"Fell",1996,45.34583,-92.05167,"(45.34583, -92.05167)"
"Sacramento Wash 003",34067,"Valid","H4",89.2,"Found",2004,34.75873,-114.23342,"(34.75873, -114.23342)"
"Harper Dry Lake 036",52853,"Valid","L6",85.5,"Found",2010,35.03333,-117.28333,"(35.03333, -117.28333)"
"Argonia",2331,"Valid","Pallasite, PMG-an",84,"Found",1940,37.26667,-97.76667,"(37.26667, -97.76667)"
"Bluewing 029",45959,"Valid","H6",83.8,"Found",2006,40.2628,-118.95912,"(40.2628, -118.95912)"
"Roosevelt County 035",22690,"Valid","L6",81.6,"Found",1968,34.08333,-103.61667,"(34.08333, -103.61667)"
"Coyote Dry Lake 235",30496,"Valid","LL6",81.4,"Found",2004,35.05628,-116.73377,"(35.05628, -116.73377)"
"Roosevelt County 107",22762,"Valid","L6",81.2,"Found",2000,34.21667,-103.13333,"(34.21667, -103.13333)"
"Bonnie Claire 002",5106,"Valid","H5",80.8,"Found",1998,37.21667,-117.08333,"(37.21667, -117.08333)"
"Hugo (stone)",11983,"Valid","H5",80,"Found",1936,39.13333,-103.48333,"(39.13333, -103.48333)"
"Superior Valley 006",23753,"Valid","H6",78.5,"Found",2001,35.23883,-117.02667,"(35.23883, -117.02667)"
"Crescent",5470,"Valid","CM2",78.4,"Fell",1936,35.95,-97.58333,"(35.95, -97.58333)"
"Bluewing 032",54474,"Valid","L5",78,"Found",1999,40.26667,-118.93333,"(40.26667, -118.93333)"
"Sligo",23644,"Valid","H3.9",78,"Found",1976,33.11861,-102.74056,"(33.11861, -102.74056)"
"Superior Valley 008",23755,"Valid","L6",77.44,"Found",2001,35.236,-117.044,"(35.236, -117.044)"
"Atwood (b)",4892,"Valid","OC",77,"Found",1964,40.51667,-103.26667,"(40.51667, -103.26667)"
"Coyote Dry Lake 160",30484,"Valid","H5",76.88,"Found",2002,35.06152,-116.76295,"(35.06152, -116.76295)"
"Stewart Valley 001",55530,"Valid","H6",75.6,"Found",2001,36.2058,-116.17042,"(36.2058, -116.17042)"
"Roosevelt County 014",22669,"Valid","L5",74.7,"Found",1981,34.1,-103.48333,"(34.1, -103.48333)"
"Roosevelt County 110",48991,"Valid","L4",73.7,"Found",1987,33.736667,-103.623333,"(33.736667, -103.623333)"
"San Pedro Springs",23131,"Valid","L6",72,"Found",1887,29.5,-98.5,"(29.5, -98.5)"
"Coyote Dry Lake 249",30497,"Valid","H4",71.8,"Found",2004,35.08758,-116.74603,"(35.08758, -116.74603)"
"Roosevelt County 040",22695,"Valid","H5",71.1,"Found",1969,34.08333,-103.5,"(34.08333, -103.5)"
"Jungo 001",50762,"Valid","L6",70.7,"Found",2007,40.89055,-118.36278,"(40.89055, -118.36278)"
"Blue Eagle",45972,"Valid","R3-6",70,"Found",2006,38.66167,-115.51833,"(38.66167, -115.51833)"
"Quartzsite",35634,"Valid","L4",69.7,"Found",2002,33.68085,-114.1958,"(33.68085, -114.1958)"
"Roosevelt County 084",22739,"Valid","L4",69.6,"Found",1969,34.2,-103.23333,"(34.2, -103.23333)"
"Coyote Dry Lake 110",30465,"Valid","H4",68.02,"Found",1999,35.04625,-116.73547,"(35.04625, -116.73547)"
"Marengo",15415,"Valid","L6",68,"Found",1991,42.29111,-88.62556,"(42.29111, -88.62556)"
"Tungsten Mountain 573",53844,"Valid","H4",68,"Found",2010,39.68973,-117.61822,"(39.68973, -117.61822)"
"Bloomington",5076,"Valid","LL6",67.8,"Fell",1938,40.48,-89.00417,"(40.48, -89.00417)"
"Coyote Dry Lake 063",30460,"Valid","H4",67.61,"Found",1999,35.05878,-116.773,"(35.05878, -116.773)"
"Roosevelt County 028",22683,"Valid","L5",67.3,"Found",1984,34.08333,-103.5,"(34.08333, -103.5)"
"Superior Valley 007",23754,"Valid","L6",67.21,"Found",2001,35.23833,-117.03283,"(35.23833, -117.03283)"
